CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
1990354,Waystar Holding Corp.,2024-06-07,0001104659-24-069649,7373,Services-Computer Integrated Systems Design,Software & IT Services,45000000,21.50000000,967500000.00000000,regex,1099278000,191685290,4121233735.00000000,3.749036854,2024-04-01,2024-01-01,3.796173442,3.182158682,In line with sector
1975940,"Fly-E Group, Inc.",2024-06-05,0001213900-24-050084,3711,Motor Vehicles & Passenger Car Bodies,Other,2250000,4.00000000,9000000.00000000,regex,25427163,1632386,6529544.00000000,0.2567940434,2024-04-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
2002473,Bowhead Specialty Holdings Inc.,2024-05-24,0001628280-24-025249,6331,"Fire, Marine & Casualty Insurance",Insurance,7529412,17.00000000,128000004.00000000,regex,551589000,32838035,558246595.00000000,1.012069847,2024-04-01,2024-01-01,0.6440590323,0.6440590323,Richly valued
1995306,SUPER HI INTERNATIONAL HOLDING LTD.,2024-05-17,0001104659-24-062760,5812,Retail-Eating  Places,Restaurants & Retail,2692700,19.56000000,52669212.00000000,regex,,,52669212.00000000,,2024-04-01,2024-01-01,,,No revenue data
1976908,JIADE Ltd,2024-05-16,0001104659-24-062423,8200,Services-Educational Services,Other,2000000,4.00000000,8000000.00000000,regex,,,8000000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1972529,Armlogi Holding Corp.,2024-05-15,0001213900-24-043224,4220,Public Warehousing & Storage,Other,1600000,5.00000000,8000000.00000000,regex,190408258,45443079,227215395.00000000,1.193306411,2024-04-01,2024-01-01,59.649200047,1.389977905,In line with sector
1954042,ZEEKR Intelligent Technology Holding Ltd,2024-05-10,0001104659-24-059882,3711,Motor Vehicles & Passenger Car Bodies,Other,21000000,21.00000000,441000000.00000000,regex,,,441000000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1998768,"Proficient Auto Logistics, Inc",2024-05-10,0001213900-24-041822,4700,Transportation Services,Other,14333333,15.00000000,214999995.00000000,regex,,,214999995.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1943289,"Silvaco Group, Inc.",2024-05-10,0001628280-24-022612,7372,Services-Prepackaged Software,Software & IT Services,6000000,19.00000000,114000000.00000000,regex,63064000,32234263,612450997.00000000,9.711578666,2024-04-01,2024-01-01,3.796173442,3.182158682,Richly valued
1923891,Nano Nuclear Energy Inc.,2024-05-09,0001493152-24-018288,4911,Electric Services,Other,2562500,4.00000000,10250000.00000000,regex,,,10250000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1745201,Viking Holdings Ltd,2024-05-02,0001193125-24-129359,4400,Water Transportation,Other,11000000,24.00000000,264000000.00000000,regex,,,264000000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1956741,"CleanCore Solutions, Inc.",2024-04-30,0001213900-24-037578,2842,"Specialty Cleaning, Polishing and Sanitation Preparations",Other,1250000,4.00000000,5000000.00000000,regex,2072834,210439401,841757604.00000000,406.090214653,2024-04-01,2024-01-01,59.649200047,1.389977905,Richly valued
1943896,"Rubrik, Inc.",2024-04-26,0001193125-24-118478,7372,Services-Prepackaged Software,Software & IT Services,23500000,32.00000000,752000000.00000000,regex,1316191000,,752000000.00000000,0.5713456482,2024-04-01,2024-01-01,3.796173442,3.182158682,Cheaply valued
1997464,Marex Group plc,2024-04-26,0001193125-24-114579,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",Other,3846153,19.00000000,73076907.00000000,regex,,,73076907.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
2000178,Loar Holdings Inc.,2024-04-26,0001193125-24-118106,3728,"Aircraft Parts & Auxiliary Equipment, NEC",Other,11000000,28.00000000,308000000.00000000,regex,496283000,93624471,2621485188.00000000,5.282238537,2024-04-01,2024-01-01,59.649200047,1.389977905,Richly valued
1940941,mF International Ltd,2024-04-23,0001493152-24-015705,7371,Services-Computer Programming Services,Software & IT Services,1666667,4.50000000,7500001.50000000,regex,,,7500001.50000000,,2024-04-01,2024-01-01,3.796173442,3.182158682,No revenue data
1940941,mF International Ltd,2024-04-23,0001493152-24-015708,7371,Services-Computer Programming Services,Software & IT Services,1666667,4.50000000,7500001.50000000,regex,,,7500001.50000000,,2024-04-01,2024-01-01,3.796173442,3.182158682,No revenue data
1948099,Mingteng International Corp Inc.,2024-04-19,0001213900-24-034489,3442,"Metal Doors, Sash, Frames, Moldings & Trim",Other,1050000,4.00000000,4200000.00000000,regex,,,4200000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1981599,"Centuri Holdings, Inc.",2024-04-18,0001193125-24-100835,4923,Natural Gas Transmisison & Distribution,Other,12400000,21.00000000,260400000.00000000,regex,2982781000,100844515,2117734815.00000000,0.7099866919,2024-04-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
